国家,组别,位置,球员,俱乐部,联赛,身价_万欧,国家队进球,国家队助攻,世界杯进球,世界杯助攻,生涯总进球,生涯总助攻,本赛季俱乐部_进球,本赛季俱乐部_助攻,主要荣誉,号码,数据来源,年龄
巴拿马,L组,前锋,托马斯·罗德里格斯,萨普里萨,哥斯甲,100,0,3,0,0,48,15,0,0,Tomás Rodríguez│1999-03-09生 27岁 183cm│2025-26萨普里萨11场3球 0助│巴拿马国脚,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
英格兰,L组,门将,乔丹·皮克福德,埃弗顿,英超,2000,0,0,0,0,0,0,0,0,2024欧洲杯│2018世界杯,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,32
英格兰,L组,门将,迪恩·亨德森,水晶宫,英超,1500,0,0,0,0,0,0,0,0,,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
英格兰,L组,门将,特拉福德,曼城,英超,500,0,0,0,0,80,16,0,0,英超冠军│英格兰足总杯,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
英格兰,L组,后卫,约翰·斯通斯,曼城,英超,3500,3,3,0,0,30,25,0,0,英超冠军4次│欧冠冠军,15,FBref全赛事 ManCity,1994-05-28
英格兰,L组,后卫,马克·格伊,曼城,英超,5000,1,0,0,0,20,5,1,0,无,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,2000-07-13
英格兰,L组,后卫,贾雷尔·宽萨,勒沃库森,德甲,4000,0,0,0,0,15,5,0,0,德甲冠军│欧冠,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,2003-01-29
英格兰,L组,后卫,埃兹里·孔萨,阿斯顿维拉,英超,5000,1,0,0,0,20,5,1,0,无（青年队）,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
英格兰,L组,后卫,丹·伯恩,纽卡斯尔联,英超,1500,0,2,0,0,5,25,1,0,纽卡2024联赛杯冠军,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
英格兰,L组,后卫,里斯·詹姆斯,切尔西,英超,4500,3,8,0,0,30,50,2,6,欧冠冠军,16,FBref全赛事 Chelsea,26
英格兰,L组,后卫,利夫拉门托,纽卡斯尔联,英超,4500,0,1,0,0,2,10,0,2,意大利U21成员│意大利队,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
英格兰,L组,后卫,奥赖利,曼城,英超,3500,0,1,0,0,20,10,2,3,德甲冠军│欧冠│维拉│英超标王,6,FBref全赛事 22场2球3助(Rico Lewis),21
英格兰,L组,后卫,斯彭斯,热刺,英超,2500,0,0,0,0,2,8,0,2,英格兰队│曾租借至多支英冠球队,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
英格兰,L组,中场,裘德·贝林厄姆,皇家马德里,西甲,14000,8,5,0,0,100,60,8,5,德甲冠军│欧冠,11,FBref全赛事 RealMadrid,22
英格兰,L组,中场,德克兰·赖斯,阿森纳,英超,12000,3,5,0,0,74,40,5,9,英超冠军 2025/26,21,FBref全赛事 Arsenal,27
英格兰,L组,中场,梅努,曼联,英超,5000,1,1,0,0,20,10,1,3,英冠冠军,8,FBref全赛事 ManUtd,21
英格兰,L组,中场,埃泽,阿森纳,英超,4500,3,3,0,0,80,50,10,5,无（青年才俊）,19,FBref全赛事 Arsenal,27
英格兰,L组,中场,摩根·罗杰斯,阿斯顿维拉,英超,5500,2,3,0,0,50,35,14,11,欧联冠军 2025/26,20,FBref全赛事 55场14球11助(UEL最佳球员),23
英格兰,L组,中场,乔丹·亨德森,布伦特福德,英超,500,0,0,0,0,30,65,0,1,英超冠军2019-20│欧冠冠军2019│英格兰队70场│沙特联赛冠军2024,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
英格兰,L组,中场,埃利奥特·安德森,诺丁汉森林,英超,3000,2,1,0,0,25,20,2,4,2026世界杯英格兰队,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
英格兰,L组,前锋,哈里·凯恩,拜仁慕尼黑,德甲,9000,78,20,8,3,500,120,61,7,德甲冠军 2024/25/26 德国杯冠军 2026 德国超级杯 2024/25│2025-26赛季51场61球7助(队史第二仅次于穆勒66球)│2025年11月超贝利77球 成英格兰队史射手王│生涯500球(热刺280+拜仁146+英格兰78+其他),9,FBref全赛事 Bayern,32
英格兰,L组,前锋,布卡约·萨卡,阿森纳,英超,12000,14,10,0,0,76,50,11,7,英超冠军 2025/26 社区盾 2020 非洲杯亚军 2024,7,FBref全赛事 Arsenal,24
英格兰,L组,前锋,安东尼·戈登,纽卡斯尔联,英超,5000,2,3,0,0,80,45,17,5,无,26,FBref全赛事 46场17球5助(欧冠10球),25
英格兰,L组,前锋,奥利·沃特金斯,阿斯顿维拉,英超,3500,4,0,0,0,200,30,16,8,欧联冠军 2025/26,22,FBref全赛事 40+场16球8助,30
英格兰,L组,前锋,马杜埃凯,阿森纳,英超,4500,2,1,0,0,60,30,4,3,欧冠,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
英格兰,L组,前锋,伊万·托尼,吉达国民,沙特联,3000,1,0,0,0,150,30,41,11,2024欧洲杯亚军,25,FBref全赛事 45场41球11助(SPL32球),30
英格兰,L组,前锋,拉什福德,巴塞罗那,西甲,4000,20,5,3,1,200,80,14,11,英超过人王,13,FBref全赛事 Barcelona,28
克罗地亚,L组,门将,多米尼克·利瓦科维奇,萨格勒布迪纳摩,克甲,400,0,0,0,0,0,0,0,0,萨格勒布迪纳摩│2018世界杯│2022世界杯,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
克罗地亚,L组,门将,多米尼克·科塔尔斯基,哥本哈根,丹超,800,4,0,0,0,0,0,0,0,欧联冠军,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
克罗地亚,L组,门将,伊沃·潘杜,赫尔城,英冠,350,0,0,0,0,0,0,0,0,英冠冠军,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
克罗地亚,L组,后卫,约什科·格瓦迪奥尔,曼城,英超,7000,3,0,0,0,20,5,2,4,英超冠军 2022/23/24 欧冠 2023 世俱杯 2023,2,FBref全赛事 ManCity,24
克罗地亚,L组,后卫,杜耶·卡莱塔-卡尔,皇家社会,西甲,300,4,1,0,0,30,10,1,0,西超杯 2020,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
克罗地亚,L组,后卫,约西普·舒塔洛,阿贾克斯,荷甲,1500,1,0,0,0,20,3,0,0,荷甲冠军 2020/21,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
克罗地亚,L组,后卫,约西普·斯坦尼西奇,拜仁慕尼黑,德甲,3500,1,0,0,0,15,5,3,5,德甲冠军 2024/25/26,15,FBref全赛事 Bayern,26
克罗地亚,L组,后卫,马林·庞格拉契奇,佛罗伦萨,意甲,750,0,0,0,0,20,3,0,0,2022世界杯│克罗地亚新锐,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
克罗地亚,L组,后卫,克里斯蒂扬·亚基奇,奥格斯堡,德甲,800,0,0,0,0,10,2,0,0,2022世界杯│克罗地亚新人,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
克罗地亚,L组,后卫,马丁·埃尔利奇,中日德兰,丹超,400,0,0,0,0,8,1,0,0,克罗地亚新人,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
克罗地亚,L组,后卫,卢卡·武什科维奇,汉堡,德乙,6000,0,0,0,0,8,2,0,0,汉堡│世界杯新面孔,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,19
克罗地亚,L组,中场,卢卡·莫德里奇,AC米兰,意甲,400,28,25,1,2,150,120,2,3,金球奖2018│世界杯亚军2018│欧冠冠军5次│40岁第五届世界杯│意甲冠军,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,40
克罗地亚,L组,中场,马特奥·科瓦契奇,曼城,英超,1200,5,6,0,0,40,30,2,4,英超冠军 2018/19/21/22/23 欧冠 2018/19/23 世俱杯 2019/23,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,32
克罗地亚,L组,中场,马里奥·帕萨利奇,亚特兰大,意甲,700,2,0,0,0,50,20,3,2,意甲冠军 2024/25,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
克罗地亚,L组,中场,尼科拉·弗拉西奇,都灵,意甲,900,1,0,0,0,30,15,1,1,英超亚军 2020,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
克罗地亚,L组,中场,卢卡·苏契奇,皇家社会,西甲,1000,0,0,0,0,15,5,1,1,2022世界杯季军,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
克罗地亚,L组,中场,马丁·巴图里纳,科莫,意乙,2400,0,0,0,0,15,8,0,0,科莫│2022世界杯│意乙升级意甲,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
克罗地亚,L组,中场,佩塔尔·苏契奇,国际米兰,意甲,2500,0,0,0,0,10,3,1,1,2022世界杯│意甲冠军│欧冠亚军,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
克罗地亚,L组,中场,尼古拉·莫罗,博洛尼亚,意甲,600,0,0,0,0,12,5,1,1,2022世界杯│克罗地亚新人,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
克罗地亚,L组,中场,托尼·弗鲁克,里耶卡,克甲,900,0,0,0,0,8,3,0,0,里耶卡│克罗地亚联赛│克罗地亚新人,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,43
克罗地亚,L组,前锋,伊万·佩里西奇,埃因霍温,荷甲,130,38,30,0,0,150,80,3,3,2018世界杯亚军│2022世界杯季军│克罗地亚第六届世界杯,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,37
克罗地亚,L组,前锋,安德雷·克拉马里奇,霍芬海姆,德甲,300,36,15,2,0,180,50,12,3,2022世界杯│克罗地亚第二射手,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
克罗地亚,L组,前锋,安特·布迪米尔,奥萨苏纳,西甲,300,0,0,0,0,60,15,5,0,西甲冠军 2014,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
克罗地亚,L组,前锋,马里奥·帕萨利奇,奥兰多城,美职联,650,0,0,0,0,40,20,1,0,2022世界杯季军│克罗地亚锋线补充,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
克罗地亚,L组,前锋,佩塔尔·穆萨,达拉斯,美职联,800,0,0,0,0,25,10,1,0,达拉斯│克罗地亚新面孔,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
克罗地亚,L组,前锋,伊戈尔·马塔诺维奇,弗赖堡,德甲,1000,0,0,0,0,30,8,1,0,克罗地亚新人,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
加纳,L组,门将,本杰明·阿萨雷,橡树之心,南非超,10,0,0,0,0,0,0,0,0,格特奥林匹克│南非超,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,门将,劳伦斯·阿蒂齐吉,圣加仑,瑞士超,80,0,0,0,0,0,0,0,0,圣加仑│加纳新人,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,门将,约瑟夫·阿南,圣帕特里克竞技,爱超,27.5,0,0,0,0,0,0,0,0,爱超│加纳新人,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,巴巴·阿卜杜勒·拉赫曼,塞萨洛尼基,希腊超,1200,0,0,0,0,15,5,1,1,塞萨洛尼基│加纳老将回归,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
加纳,L组,后卫,吉迪恩·门萨,欧塞尔,法乙,400,0,0,0,0,10,2,1,1,法乙冠军│加纳新人,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,马文·塞纳亚,欧塞尔,法乙,300,0,0,0,0,8,2,1,1,加纳新人,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,阿里杜·塞杜,雷恩,法甲,1500,0,0,0,0,12,3,0,0,,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
加纳,L组,后卫,阿卜杜勒·穆明,巴列卡诺,西甲,1200,0,0,0,0,15,3,0,0,,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,杰罗姆·奥波库,伊斯坦布尔,土超,200,0,0,0,0,8,1,1,1,加纳新人,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,乔纳斯·阿杰蒂,沃尔夫斯堡,德甲,800,0,0,0,0,10,2,0,0,加纳新人│德甲新面孔,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,科乔·奥彭·佩普拉,尼斯,法甲,600,0,0,0,0,8,2,0,0,加纳新人,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,后卫,德里克·卢卡森,帕福斯,塞浦路斯甲,100,0,0,0,0,5,1,1,1,帕福斯│塞浦路斯甲│加纳新人,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,中场,伊莱莎·奥乌苏,欧塞尔,法乙,300,0,0,0,0,8,3,1,1,加纳新人,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,中场,托马斯·帕尔特伊,比利亚雷亚尔,西甲,250,0,0,0,0,20,8,1,2,西甲冠军│欧联冠军2019│加纳最大牌,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,33
加纳,L组,中场,夸西·西博,皇家奥维耶多,西乙,150,0,0,0,0,10,3,1,1,皇家奥维耶多│加纳新人,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,中场,奥古斯丁·博克耶,圣埃蒂安,法乙,150,0,0,0,0,8,3,1,1,圣埃蒂安│加纳新人,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,中场,卡莱布·伊伦基,北西兰,丹麦超,150,0,0,0,0,8,2,1,1,加纳新人,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,中场,法塔乌,莱斯特城,英冠,400,0,0,0,0,15,5,1,1,加纳新人,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,前锋,苏莱马纳,亚特兰大,意甲,2500,0,0,0,0,30,8,6,2,意甲突破,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
加纳,L组,前锋,努瓦马,里昂,法甲,1000,0,0,0,0,25,5,5,1,,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,前锋,塞梅尼奥,曼城,英超,7500,0,0,0,0,21,8,21,6,英超冠军│加纳最贵球员,21,FBref全赛事: 伯恩茅斯半季10G + 曼城半季11G,23
加纳,L组,前锋,布兰登·托马斯·阿桑特,考文垂,英冠,800,0,0,0,0,40,10,1,1,考文垂,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
加纳,L组,前锋,夸贝纳·阿杜,比尔森胜利,捷甲,500,0,0,0,0,25,5,1,1,比尔森胜利│捷甲冠军│加纳新人,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
加纳,L组,前锋,伊纳基·威廉姆斯,毕尔巴鄂竞技,西甲,1800,0,0,0,0,50,15,5,4,西甲稳定进球,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
加纳,L组,前锋,乔丹·阿尤,莱斯特城,英冠,100,0,0,0,0,100,30,1,1,,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
韩国,A组,门将,金承奎,FC东京,J1联赛,60,0,0,0,0,0,0,0,0,FC东京│2022世界杯│亚洲杯2023│第四次世界杯│K联赛冠军,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
韩国,A组,门将,赵贤祐,蔚山HD,K1联赛,70,15,0,0,0,0,0,0,0,蔚山HD│2022世界杯│亚洲杯2023│K1冠军│亚洲杯金手套│K联赛冠军,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,34
韩国,A组,门将,宋范根,全北现代汽车,K1联赛,100,8,0,0,0,0,0,0,0,全北现代,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
韩国,A组,后卫,金纹焕,大田韩亚市民,K1联赛,80,1,2,0,0,5,3,1,1,大田韩亚市民│韩国新面孔,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
韩国,A组,后卫,金玟哉,拜仁慕尼黑,德甲,2500,5,1,0,0,20,5,1,1,2022世界杯│亚洲杯2023│德甲冠军│欧冠,2,FBref全赛事 Bayern,29
韩国,A组,后卫,金太铉,鹿岛鹿角,J1联赛,200,0,0,0,0,10,2,1,1,鹿岛鹿角│日本J联赛│韩国新人,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
韩国,A组,后卫,朴镇燮,浙江,中超,100,0,0,0,0,10,3,1,1,浙江│中国球队外援,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
韩国,A组,后卫,薛英佑,贝尔格莱德红星,塞超,500,0,0,0,0,8,2,1,1,贝尔格莱德红星│塞超冠军│塞尔维亚联赛│韩国新面孔,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,27
韩国,A组,后卫,延斯·卡斯特罗普,门兴格拉德巴赫,德甲,150,0,0,0,0,5,1,0,1,德国归化球员│韩国新归化,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
韩国,A组,后卫,李期奕,江原,K1联赛,60,0,0,0,0,5,1,0,0,江原FC│韩国新人,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
韩国,A组,后卫,李太锡,奥地利维也纳,奥甲,150,0,0,0,0,5,1,1,1,奥甲│韩国新人│欧洲联赛经验,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
韩国,A组,后卫,李韩汎,中日德兰,丹超,180,0,0,0,0,8,2,1,1,韩国新人,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
韩国,A组,后卫,曹侑珉,沙迦,阿联酋职,180,0,0,0,0,5,1,1,1,沙迦│阿联酋联赛│世界杯经验丰富,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
韩国,A组,中场,金镇圭,全北现代汽车,K1联赛,120,0,0,0,0,8,3,1,1,全北现代,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
韩国,A组,中场,裴俊浩,斯托克城,英冠,400,0,0,0,0,10,3,1,1,斯托克城│英格兰联赛│英冠新锐,7,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
韩国,A组,中场,白昇浩,伯明翰,英冠,250,7,3,0,0,20,8,1,1,伯明翰城│伯明翰│英格兰联赛,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
韩国,A组,中场,杨贤俊,凯尔特人,苏超,300,0,0,0,0,10,3,1,1,苏超冠军│苏格兰联赛,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,23
韩国,A组,中场,严智星,斯旺西,英冠,140,0,0,0,0,8,3,1,1,斯旺西城│英格兰联赛,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
韩国,A组,中场,黄仁范,费耶诺德,荷甲,800,0,0,0,0,15,5,1,1,,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,29
韩国,A组,中场,李东炅,蔚山HD,K1联赛,160,0,0,0,0,8,3,1,1,蔚山HD│蔚山现代│韩国新人,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
韩国,A组,中场,李在城,美因茨,德甲,200,0,0,0,0,15,5,4,3,美因茨05│2022世界杯,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,33
韩国,A组,中场,黄喜灿,狼队,英冠,800,14,5,0,0,60,20,3,1,2022世界杯│亚洲杯2023,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
韩国,A组,中场,李刚仁,巴黎圣日耳曼,法甲,2800,4,3,0,0,50,30,4,5,2022世界杯│亚洲杯2023│法甲冠军│韩国之一,24,FBref全赛事 PSG,25
韩国,A组,前锋,孙兴慜,洛杉矶FC,美职联,1700,56,30,3,1,200,100,9,4,2022世界杯│2018亚运会金牌│2023-24德甲最佳射手│2024-25欧联亚军(热刺未夺冠)│亚洲杯2015亚军│2024亚洲金球奖│2024韩国足球先生│亚洲历史第一身价(2015转会热刺2200万欧)│热刺队史射手王(170球),25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,33
韩国,A组,前锋,吴贤揆,贝西克塔斯,土超,1500,0,0,0,0,20,5,3,1,土耳其联赛│韩国新人│土超新面孔,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,25
韩国,A组,前锋,曹圭成,中日德兰,丹超,300,11,2,0,0,40,10,5,1,2022世界杯│亚洲杯2023│韩国锋线,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,28
摩洛哥,C组,门将,亚辛·布努,利雅得新月,沙特联,1500,17,0,0,0,0,0,0,0,利雅得新月│2022世界杯四强│非洲杯2020冠军│点球大师│4届世界杯,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
摩洛哥,C组,门将,穆尼尔·穆罕默迪,贝尔卡尼,摩洛哥联赛,70,0,0,0,0,0,0,0,0,贝尔卡尼│摩洛哥联赛,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,门将,塔纳乌蒂,拉巴特皇家武装,摩洛哥联赛,80,0,0,0,0,0,0,0,0,拉巴特皇家武装│摩洛哥联赛,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,后卫,阿什拉夫·哈基米,巴黎圣日耳曼,法甲,7000,11,15,0,0,30,30,3,8,2022世界杯四强│非洲杯2020冠军│法甲冠军3次│欧冠,2,FBref全赛事 PSG,27
摩洛哥,C组,后卫,努萨伊·马兹拉维,曼联,英超,2500,2,2,0,0,15,8,1,2,2022世界杯四强,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,后卫,萨拉赫·埃丁,PSV埃因霍温,荷甲,1200,0,0,0,0,15,5,1,1,欧冠│摩洛哥新锐,16,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,后卫,贝拉马里,拉加竞技,埃及超,500,0,0,0,0,8,2,1,1,埃及超│摩洛哥新面孔,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,后卫,阿格尔德,马赛,法甲,2000,0,0,0,0,15,3,0,0,2022世界杯四强│欧冠,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,1996-03-30
摩洛哥,C组,后卫,沙迪·里亚德,水晶宫,英超,1200,0,0,0,0,15,5,0,1,摩洛哥新锐,17,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,22
摩洛哥,C组,后卫,伊萨·迪奥普,富勒姆,英超,1000,0,0,0,0,10,3,0,0,摩洛哥新补强│英超新援,6,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,后卫,哈勒哈勒,梅赫伦,比甲,300,0,0,0,0,8,2,1,1,摩洛哥新人,14,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,后卫,扎卡里亚·瓦赫迪,亨克,比甲,1500,0,0,0,0,10,3,1,1,亨克│摩洛哥新人│比利时新归化,15,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,中场,萨米尔·穆拉贝,斯特拉斯堡,法甲,1800,0,0,0,0,12,5,1,1,法甲新锐,8,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,中场,阿尤布·布阿迪,里尔,法甲,5000,0,0,0,0,10,3,1,1,放弃法国选择摩洛哥│5000万欧元,10,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,18
摩洛哥,C组,中场,艾纳维,罗马,意甲,2000,0,0,0,0,15,5,1,1,摩洛哥新归化,11,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,中场,阿姆拉巴特,皇家贝蒂斯,西甲,1200,0,0,0,0,20,8,0,2,2022世界杯四强│西甲经验丰富,20,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,39
摩洛哥,C组,中场,阿兹丁·欧纳希,赫罗纳,西甲,1500,0,0,0,0,15,5,1,1,摩洛哥新锐│西甲突破,21,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,26
摩洛哥,C组,中场,哈努斯,斯图加特,德甲,3200,0,0,0,0,10,3,1,1,摩洛哥新归化,19,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,2004-05-10
摩洛哥,C组,中场,萨伊瓦里,PSV埃因霍温,荷甲,3200,0,0,0,0,12,4,1,1,,18,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,前锋,阿布德,皇家贝蒂斯,西甲,3000,1,0,0,0,20,8,4,2,2022世界杯四强,22,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,24
摩洛哥,C组,前锋,塔勒比,桑德兰,英冠,2500,4,1,0,0,30,10,1,1,桑德兰│英格兰联赛│摩洛哥新人,9,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,21
摩洛哥,C组,前锋,苏菲安·拉希米,艾因,亚冠,600,0,0,0,0,50,15,1,1,阿尔艾因│亚冠│亚洲联赛│亚冠冠军│阿联酋联赛,24,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,30
摩洛哥,C组,前锋,卡埃比,奥林匹亚科斯,希腊超,500,0,0,0,0,40,10,2,1,奥林匹亚科斯│2022世界杯四强│河北华夏幸福│摩洛哥锋线经验,13,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,32
摩洛哥,C组,前锋,卜拉欣·迪亚斯,皇家马德里,西甲,3500,13,2,0,0,80,30,2,7,皇家马德里│2022世界杯四强│欧冠冠军2次│西甲冠军,7,FBref全赛事 RealMadrid,26
摩洛哥,C组,前锋,盖西姆·亚辛,斯特拉斯堡,法甲,1200,0,0,0,0,20,8,2,1,,25,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
摩洛哥,C组,前锋,阿迈穆尼·埃奇古亚布,法兰克福,德甲,700,0,0,0,0,15,5,1,0,摩洛哥新归化,26,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
澳大利亚,D组,门将,马修·瑞安,莱万特,西乙,200,8,0,0,0,0,0,0,0,莱万特│第四次世界杯│2022世界杯│J联赛冠军,1,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,36
澳大利亚,D组,门将,保罗·伊佐,兰讷斯,丹超,50,0,0,0,0,0,0,0,0,,23,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,31
澳大利亚,D组,门将,帕特里克·比奇,墨尔本城,澳超,100,0,0,0,0,0,0,0,0,墨尔本城│澳超冠军│澳超,12,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
澳大利亚,D组,后卫,阿齐兹·贝希奇,墨尔本城,澳超,25,0,0,0,0,8,2,1,1,墨尔本城│澳超冠军│澳超,2,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,35
澳大利亚,D组,后卫,乔丹·博斯,费耶诺德,荷甲,1200,0,0,0,0,12,3,1,1,,3,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
澳大利亚,D组,后卫,卡梅隆·伯吉斯,斯旺西,英冠,150,0,0,0,0,10,2,1,1,澳大利亚新人,4,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,X待核实
澳大利亚,D组,后卫,亚历山德罗·西卡蒂,帕尔马,意甲,1500,0,0,0,0,12,3,0,0,澳大利亚新归化,5,Transfermarkt身价+FBref/ESPN赛季数据 2025-26,51
